voyage_id,vessel_name,flag,place_of_slave_purchase,place_of_slave_disembarkation,total_embarked,total_disembarked,year_of_arrival,percent_men,percent_women,percent_children,captain's_name,resistance_label,sources
9864,Two Friends,Great Britain,Gambia,"Virginia, port unspecified",117,103,1686,0.76068,0.21368,0.02564,"James, Thomas",,"[u'T70/942,62<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1222,129<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/50,7<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/942<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/61<><p><em>British National Archive</em> (Kew) Treasury</p>', u'CO388/10<><p><em>British National Archives</em> (Kew) Colonial Office</p>']"
9865,Charles,Great Britain,Bance Island (Ben's Island),"Virginia, port unspecified",77,68,1686,0.77922,0.11688,0.1039,"Hellmont, Lambert",,"[u'T70/11,138<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/966,12<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/942,111<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/914<><p><em>British National Archive</em> (Kew) Treasury</p>', u'CO388/10<><p><em>British National Archives</em> (Kew) Colonial Office</p>']"
9884,Sarah,Great Britain,Gambia,"Virginia, port unspecified",130,110,1684,0.79231,0.16923,0.03846,"Attwell, Thomas",,"[u'T70/12,124<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/941,53<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/913<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/964,31<><p><em>British National Archive</em> (Kew) Treasury</p>', u'CO157/1,91<><p><em>British National Archives</em> (Kew) Colonial Office</p>']"
9948,Arrabella,Great Britain,Gambia,"Virginia, port unspecified",209,177,1679,0.48259,0.44776,0.06965,"Pictck, Jos<br/> Booth, William",,"[u'T70/10,11<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/938,175<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/962,43<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,IV,54<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
11295,Witte Paard,Netherlands,Loango,New York,455,391,1655,,,,"Swart, Meijndert Lourensz",,"[u'BDB12<>Binder, Franz, Dataset of 17th century Dutch slave trading voyages, currently deposited at the Wilberforce Institute for the Study of Slavery and Emancipation (Hull)', u'VanDantzig,1968:45<>Van Dantzig, Albert, <i>Het Nederlandse aandeel in de slavenhandel</i> (Bussum, 1968).', u'Donnan,III,414-5<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Rink,163<>Rink, Oliver, <i>Holland</i><i> on the Hudson: an economic and social history of Dutch New York</i> (Ithaca, NY, 1986).            ', u'Donnan,IV,49-50<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
11412,Wapen van Amsterdam,Netherlands,Loango,"Virginia, port unspecified",101,85,1663,,,,"Nuchteren, Jan Gerritsen<br/> Ridder, Paulus Heijn",,"[u'BDB53<>Binder, Franz, Dataset of 17th century Dutch slave trading voyages, currently deposited at the Wilberforce Institute for the Study of Slavery and Emancipation (Hull)', u""O'Callaghan,Voyages<>O'Callaghan, E. B., <i>Voyages of the Slavers St. John and Arms of Amsterdam, 1659, 1663; together with Additional Papers Illustrative of the Slave trade Under the Dutch</i> (Albany, 1867)."", u'GAA,NA,1370:28March1664;101,7July1664<><p><em>Stadsarchief Amsterdam</em> <span style=""color: #000000; font-family: \'Helvetica Neue\', Helvetica, Arial, sans-serif; font-size: 10.6667px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #f9f9f9; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">(Amsterdam, Netherlands) Notarieel Archief</span></p>', u'Donnan,III,425-6<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'GAA,NA,3187:52,3/3/1664<><p><em>Stadsarchief Amsterdam</em> <span style=""color: #000000; font-family: \'Helvetica Neue\', Helvetica, Arial, sans-serif; font-size: 10.6667px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #f9f9f9; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">(Amsterdam, Netherlands) Notarieel Archief</span></p>']"
11414,Gideon,Netherlands,Loango,New York,421,348,1664,0.53333,0.46667,0,"Gilde, Sijmon Cornelisz",,"[u'BDB63<>Binder, Franz, Dataset of 17th century Dutch slave trading voyages, currently deposited at the Wilberforce Institute for the Study of Slavery and Emancipation (Hull)', u""O'Callaghan,Voyages<>O'Callaghan, E. B., <i>Voyages of the Slavers St. John and Arms of Amsterdam, 1659, 1663; together with Additional Papers Illustrative of the Slave trade Under the Dutch</i> (Albany, 1867)."", u'GAA,NA,3189:121,23March1666<><p><em>Stadsarchief Amsterdam</em> <span style=""color: #000000; font-family: \'Helvetica Neue\', Helvetica, Arial, sans-serif; font-size: 10.6667px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #f9f9f9; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">(Amsterdam, Netherlands) Notarieel Archief</span></p>', u'Gehring&Schiltkamp,185-7,192-6,202<>Gehring, Charles T., and J. A. Schiltkamp (eds.), <i>Curacao Papers, 1640-1665: New Netherlands Documents, XIV</i> (Interlaken, 1987).                       ', u'Donnan,III,430-1,422-7,431-4<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
13933,Superior,Denmark / Baltic,"Africa., port unspecified","Florida, port unspecified",289,250,1802,0.7,0.2,0.1,Kingsley,,"[u'Klein,Havana dataset<><p><em>University of Wisconsin Library</em> (Madison, Wisconsin, USA) Klein, Havana data-set, 1790-1820</p>', u'Landers,276<>Landers, Jane, <i>Black society in Spanish Florida</i> (Urbana, 1999)', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u'Hern\xe6s,282<><p>Hern&aelig;s, Per O, <em>Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast</em> (Trondheim, 1995).</p>']"
14138,Sally,U.S.A.,Congo River,New Orleans,213,174,1803,0.49425,0.28161,0.22414,"Edwards, Henry<br/> Guibert, Auguste",,"[u'ANC,ML, 2486<><p><em>Archivo Nacional de Cuba, Miscel&acirc;nea de Libros</em> (Havana)</p>', u'Leglaunec<>Leglaunec, Jean-Pierre,""A Directory of Ships with Slave Cargoes, Louisiana, 1772-1808,"" <i>Louisiana</i><i> History</i>, 46 (2005): 211-230.', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u'Klein,Havana dataset<><p><em>University of Wisconsin Library</em> (Madison, Wisconsin, USA) Klein, Havana data-set, 1790-1820</p>']"
14524,Empresa,U.S.A.,"Africa., port unspecified",New Orleans,170,140,1810,,,,,,"[u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.']"
14913,Jeffrey,Great Britain,Calabar,"Virginia, port unspecified",330,265,1694,,,,"Soane, John",,"[u'T70/917,47<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1222,165<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/61,166<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,I,393<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Law,EWA,doc.1415<><p>Law, Robin, <em>The English in West Africa, 1691-1699: </em><em>The Local Correspondence of the Royal African Company of England</em> (Oxford, 2007).</p>']"
14925,Angola,Great Britain,Loango,York River,114,92,1703,,,,"Arnold, Thomas",,"[u'T70/170,52<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/14,6<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/919,116<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/175,158<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1438<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Minch,12-13<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'Donnan,II,3<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Donnan,IV,173<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LL,159<><i>House of Lords Record Office</i> (London, UK) Lloyds\u2019 Lists, 1702-04', u'LL,160<><i>House of Lords Record Office</i> (London, UK) Lloyds\u2019 Lists, 1702-04', u'YCVDWO,12(1702-1706):131-35<><i>Library of Virginia</i> (Richmond, Virginia, USA) York County, Virginia, Deeds, Wills, and Orders (microfilm)', u'T70/352,37,40,41<><p><em>British National Archive</em> (Kew) Treasury</p>']"
14939,Angola,Great Britain,Cape Coast Castle,York River,248,214,1705,,,,"Arnold, Thomas",,"[u'T70/14,104<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/5,5<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/175,158<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1438<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1198<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/920,129<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Minch,17<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'Donnan,IV,173<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'YCVDWO,12(1702-1706):f.390<><i>Library of Virginia</i> (Richmond, Virginia, USA) York County, Virginia, Deeds, Wills, and Orders (microfilm)', u'T70/354,4<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/354,9,42<><p><em>British National Archive</em> (Kew) Treasury</p>']"
14975,Lady Francis,Great Britain,New Calabar,"Virginia, port unspecified",251,174,1688,,,,"Wilkins, Amos",,"[u'T70/57,11<><p><em>British National Archive</em> (Kew) Treasury</p>']"
15005,Postillion,Great Britain,Gambia,"Virginia, port unspecified",100,81,1704,0.975,0.0125,0.0125,"Tozer, John",Slave insurrection,"[u'T70/13,71<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/952,15-7,22-3<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/920<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,IV,173<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/14,40<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/175,179,158<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Minch,15<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'T70/353,88,90<><p><em>British National Archive</em> (Kew) Treasury</p>', u'LL,222<><i>House of Lords Record Office</i> (London, UK) Lloyds\u2019 Lists, 1702-04']"
15050,Generous Jenny,Great Britain,Cape Coast Castle,Patuxent,270,218,1720,0.45926,0.41481,0.12593,"Lambert, Richard (a) Lambeth",,"[u'CO390/7<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'CO388/25,376<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'C113/272,pt1<><p>British National Archives, Chancery Records, Various Six Clerks, Series I, 1715-1758 (Kew, UK)</p>', u'C113/276-89<><p>British National Archives, Chancery Records, Various Six Clerks, Series I, 1715-1758 (Kew, UK)</p>', u'Galenson,164<>Galenson, David, <i>Traders, Planters and Slaves: Market Behaviour in Early English America</i> (Cambridge, 1986).', u'Donnan,IV,24<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/4,1<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/7,4<><p><em>British National Archive</em> (Kew) Treasury</p>', u'PB,19.12.1719<><i>Post Boy</i>', u'Walsh Maryland Database<>Walsh, Lorena, Database of slave trading voyages to Maryland']"
15064,Blossom,Great Britain,Cape Coast Castle,"Virginia, port unspecified",270,244,1679,0.46245,0.49802,0.03953,"Smith, William",,"[u'T70/15,16,17,19<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,I,250<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/1222,73<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/962,47-8<><p><em>British National Archive</em> (Kew) Treasury</p>']"
15065,Swallow,Great Britain,New Calabar,"Virginia, port unspecified",179,160,1679,,,,"Seyes, Evan",,"[u'T70/15,18,19<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1222,74<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/962,52<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,I,250<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
15174, ,Great Britain,Calabar,"Virginia, port unspecified",180,125,1672,,,,,,"[u'T70/600<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,II,48<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
15175, ,Great Britain,Calabar,"USA, location unspecified",130,90,1683,,,,Stone,,"[u'Donnan,II,48<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
15177,Providence,Great Britain,Gambia,"Maryland, port unspecified",169,150,1709,,,,"Johnson, Thomas",,"[u'T70/5,61<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1199<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,II,93<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Donnan,IV,19<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/356,1<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/355,4<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/354,133<><p><em>British National Archive</em> (Kew) Treasury</p>']"
15182,Young Margaret,Great Britain,Gambia,"Virginia, port unspecified",259,230,1709,,,,"Frisby, James",,"[u'T70/5,61<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1199<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,II,93<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/355,11<><p><em>British National Archive</em> (Kew) Treasury</p>']"
15195,John and Constance,Great Britain,"Africa., port unspecified","Virginia, port unspecified",337,270,1710,,,,"Parker, Samuel",,"[u'T70/1199<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/8,54<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,II,94<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/355,40<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Minch,18-19<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
15203,Loyall Johnson,Great Britain,"Africa., port unspecified",Charleston,202,180,1710,,,,"Carter, Zebulon",,"[u'Donnan,II,116<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Donnan,IV,255<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/1199<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/355,44<><p><em>British National Archive</em> (Kew) Treasury</p>']"
15207,Prosperous,Great Britain,Calabar,"Virginia, port unspecified",165,125,1710,,,,"Hinton, Richard (a) Hilton",,"[u'T70/8,55<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1199<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,II,116<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/356,23,24<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/355,49<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Minch,18-19<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
15208,John and Robert,Great Britain,"Africa., port unspecified","Virginia, port unspecified",237,190,1710,,,,"Collins, Robert",,"[u'Donnan,II,117<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/1199<><p><em>British National Archive</em> (Kew) Treasury</p>', u""Tattersfield,255-6,303,364<>Tattersfield, Nigel, <i>The Forgotten Trade: Comprising the Log of the 'Daniel and Henry' of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725</i> (London, 1991)."", u'T70/355,50<><p><em>British National Archive</em> (Kew) Treasury</p>']"
