voyage_id	vessel_name	flag	place_of_slave_purchase	place_of_slave_disembarkation	total_embarked	total_disembarked	year_of_arrival	percent_men	percent_women	percent_children	captain's_name	resistance_label
100060	Morning Starr	Great Britain	Barbados, port unspecified	Charleston	20	19	1717				Pooles, Michael	
100061	Mary	Great Britain	Barbados, port unspecified	Charleston	20	19	1717				Palmer, Joseph	
100062	Ann	Great Britain	Barbados, port unspecified	Charleston	7	6	1717				Furber, Jethroe	
100063	Hopewell	Great Britain	Barbados, port unspecified	Charleston	50	49	1717				Shubrick, Richard	
100064	Elizabeth	Great Britain	Boston	Charleston	10	9	1717				Porter, Thomas	
100065	Neptune	Great Britain	St. Kitts, port unspecified	Charleston	5	4	1717				Bucher, John	
100066	Elizabeth	Great Britain	Barbados, port unspecified	Charleston	33	32	1717				Edwards, Benjamin	
100067	Thomas	Great Britain	Jamaica, port unspecified	Charleston	13	12	1717				Thomas, Rich	
100068	Doves	Great Britain	Jamaica, port unspecified	Charleston	17	16	1717				Dutton, Thomas	
100069	Dolphin	Great Britain	Barbados, port unspecified	Charleston	15	14	1717				Randall, Richard	
100070	Neptune	Great Britain	Jamaica, port unspecified	Charleston	15	14	1718				Masters, John	
100071	Montgomery	Great Britain	Jamaica, port unspecified	Charleston	15	14	1718				Shrimpton, Sam	
100072	Elizabeth	Great Britain	Antigua, port unspecified	Charleston	4	3	1718				Lawrence, John	
100073	Rachel	Great Britain	Jamaica, port unspecified	Charleston	19	18	1718				Dennis, Jonathan	
100074	Charming Nelly	Great Britain	Antigua, port unspecified	Charleston	52	50	1718				Staples, R.	
100075	Friendship	Great Britain	Antigua, port unspecified	Charleston	6	5	1718				Watson, James	
100076	Arm	Great Britain	Antigua, port unspecified	Charleston	37	36	1718				Clayton, Dan	
100077	Experiment	Great Britain	Barbados, port unspecified	Charleston	7	6	1718				Sherburne, Thomas	
100078	Mary Ann	Great Britain	Barbados, port unspecified	Charleston	18	17	1718				Pick, John	
100079	Neptune	Great Britain	Jamaica, port unspecified	Charleston	22	21	1718				Masters, John	
100080	Elizabeth	Great Britain	Barbados, port unspecified	Charleston	21	20	1718				Lawrence, John	
100081	Saint Augustine	Great Britain	Barbados, port unspecified	Charleston	6	5	1718				Fifield, Rich	
100082	Howard	Great Britain	Barbados, port unspecified	Charleston	15	14	1718				Whites, Thomas	
100083	Katherine	Great Britain	Barbados, port unspecified	Charleston	5	4	1718				Deck, Thomas	
100084	Montgomery	Great Britain	Barbados, port unspecified	Charleston	2	1	1718				Shrimpton, Sam	
100085	Swallow	Great Britain	Barbados, port unspecified	Charleston	5	4	1718				Donning, Charles	
100086	Susana	Great Britain	Barbados, port unspecified	Charleston	6	5	1718				Ruby, John	
100087	Fisher	Great Britain	Barbados, port unspecified	Charleston	5	4	1719				Nathan, David	
100088	Greyhound	Great Britain	Barbados, port unspecified	Charleston	14	13	1719				Shrine, Jonathan	
100089	Dolphin	Great Britain	Barbados, port unspecified	Charleston	5	4	1719				Randall, Richard	
100090	George	Great Britain	Jamaica, port unspecified	Charleston	7	6	1719				Pope, Thomas	
100091	John and James	Great Britain	Barbados, port unspecified	Charleston	9	8	1719				Pritchard, John	
100092	Neptune	Great Britain	Barbados, port unspecified	Charleston	13	12	1719				Pike, James	
100093	Sterling	Great Britain	Barbados, port unspecified	Charleston	13	12	1719				Stew, Samuel	
100094	Indian	Great Britain	Barbados, port unspecified	Charleston	7	6	1719				Bennett, John	
100095	Mary Ann	Great Britain	Barbados, port unspecified	Charleston	9	8	1719				Bonny, Thomas	
100096	Ann	Great Britain	Barbados, port unspecified	Charleston	13	12	1719				Tudor, John	
100097	Poetty	Great Britain	Jamaica, port unspecified	Charleston	23	22	1719				Stoffard, John	
100098	Greyhound	Great Britain	Jamaica, port unspecified	Charleston	4	3	1719				Baker, Francis	
100099	Grocer Frigat	Great Britain	Barbados, port unspecified	Charleston	13	12	1719				Camby, John	
100100	Elizabeth	Great Britain	Jamaica, port unspecified	Charleston	49	48	1719				Long, George	
100101	Two Brothers	Great Britain	Barbados, port unspecified	Charleston	25	24	1722				Barfoot, William	
100102	Gilbert	Great Britain	Barbados, port unspecified	Charleston	9	8	1722				Beck, Othaniell	
100103	Hampton	Great Britain	Jamaica, port unspecified	Charleston	3	2	1722				Andrews, Benjamin	
100104	Friends Adventure	Great Britain	Barbados, port unspecified	Charleston	5	4	1722				Mathews, Anthony	
100105	James	Great Britain	Jamaica, port unspecified	Charleston	8	7	1723				Colly, James	
100106	Mary	Great Britain	Jamaica, port unspecified	Charleston	2	1	1723					
100107	Albany	Great Britain	Barbados, port unspecified	Charleston	6	5	1723				Baker, Francis	
100108	Maxfield Gally	Great Britain	Barbados, port unspecified	Charleston	6	5	1724				Gabriel, J.	
100109	Gilbert	Great Britain	Barbados, port unspecified	Charleston	7	6	1724				Beck, Othaniell	
100110	Ruby	Great Britain	Antigua, port unspecified	Charleston	17	16	1724				Kidgoll, Nicholas	
100111	Bredah	Great Britain	Barbados, port unspecified	Charleston	3	2	1724				Pamefield, James	
100112	Carolina	Great Britain	Barbados, port unspecified	Charleston	5	4	1725				Dill, Joseph	
100113	Lyon	Great Britain	Barbados, port unspecified	Charleston	15	14	1727				Ross, William	
100114	Carolina	Great Britain	Barbados, port unspecified	Charleston	7	6	1727				Austin, Benjamin	
100115	Bumper	Great Britain	Jamaica, port unspecified	Charleston	7	6	1727				Smith, William	
100116	Dragon	Great Britain	Jamaica, port unspecified	Charleston	7	6	1727				Strong, William	
100117	Palmer	Great Britain	Jamaica, port unspecified	Charleston	7	6	1727				Palmer, Robert	
100118	Prince Frederick	Great Britain	Jamaica, port unspecified	Charleston	9	8	1727				Whittier, Thomas	
100119	Bumper	Great Britain	Jamaica, port unspecified	Charleston	3	2	1727				Smith, William	
100120	Diamond	Great Britain	Barbados, port unspecified	Charleston	36	35	1731				Donaldson, William	
100121	Barbary	Great Britain	Barbados, port unspecified	Charleston	8	7	1731				Scollay, Sam	
100122	Sarah and Elizabeth	Great Britain	Barbados, port unspecified	Charleston	12	11	1731				Potter, William	
100123	Londonberry	Great Britain	Montserrat, port unspecified	Charleston	15	14	1731				Blake, Richard	
100124	Dove	Great Britain	Americas, port unspecified	Charleston	9	8	1731				Browne, Phillip	
100125	Kerby Gally	Great Britain	Antigua, port unspecified	Charleston	13	12	1731				Canham, John	
100126	Barbados Merchant	Great Britain	Barbados, port unspecified	Charleston	13	12	1731				Skinner, William	
100127	Rose	Great Britain	Barbados, port unspecified	Charleston	13	12	1731				Williams, James	
100128	Pineapple	Great Britain	Boston	Charleston	3	2	1731				Hinckley, William	
100129	Recovery	Great Britain	Rhode Island, port unspecified	Charleston	2	1	1731				Waterman, Resolved	
100130	Sea Nymph	Great Britain	Boston	Charleston	7	6	1731				Gilbert, Thomas	
100131	Samuel	Great Britain	Barbados, port unspecified	Charleston	2	1	1731				Lilly, Daniel	
100132	Friendship	Great Britain	Bermuda	Charleston	3	2	1731				Wells, Jeremiah	
100133	Armond Success	Great Britain	St. Kitts, port unspecified	Charleston	26	25	1731				Woak, William	
100134	Isaac and Rebecca	Great Britain	St. Kitts, port unspecified	Charleston	2	1	1731				Penniston, Francis	
100135	Hopewell	Great Britain	Barbados, port unspecified	Charleston	2	1	1732				Haren, Stephen	
100136	Wando	Great Britain	Jamaica, port unspecified	Charleston	16	15	1732				Baker, Rich	
100137	Pineapple	Great Britain	Antigua, port unspecified	Charleston	47	46	1732				Hinckley, William	
100138	Loyall Nancy	Great Britain	Barbados, port unspecified	Charleston	5	4	1732				Bennit, Francis	
100139	Elizabeth	Great Britain	Virginia, port unspecified	Charleston	14	13	1732				Paine, Ephraim	
100140	King George	Great Britain	Barbados, port unspecified	Charleston	44	43	1732				Ivy, Lemuel	
100141	Londonberry	Great Britain	Montserrat, port unspecified	Charleston	6	5	1732				Blake, Richard	
100142	Virgins Venture	Great Britain	Barbados, port unspecified	Charleston	26	25	1732				Bradshaw, Jas.	
100143	 	Great Britain	Barbados, port unspecified	Charleston	5	4	1732					
100144	Wando	Great Britain	Jamaica, port unspecified	Charleston	6	5	1732				Cartnell, Robert	
100145	Saint Phillip	Great Britain	St. Kitts, port unspecified	Charleston	19	18	1732				Dewar, George	
100146	Nights Rambler	Great Britain	New York	Charleston	6	5	1732				Crispin, Richard	
100147	Glasgow	Great Britain	Barbados, port unspecified	Charleston	14	13	1733				Warden, William	
100148	America	Great Britain	Barbados, port unspecified	Charleston	7	6	1733				West, John	
100149	Pineapple	Great Britain	Jamaica, port unspecified	Charleston	12	11	1733				Sigourney, Andrew	
100150	Retrieve	Great Britain	Jamaica, port unspecified	Charleston	13	12	1733				Walker, Thomas	
100151	Priscilla	Great Britain	Barbados, port unspecified	Charleston	88	86	1733				Rhymes, Charles	
100152	Friendship	Great Britain	Barbados, port unspecified	Charleston	5	4	1733				Bell, B.	
100153	Hawkins	Great Britain	Barbados, port unspecified	Charleston	14	13	1734				Perryman, William	
100154	Pineapple	Great Britain	Jamaica, port unspecified	Charleston	7	6	1734				Sigourney, Andrew	
100155	Samuel	Great Britain	Montserrat, port unspecified	Charleston	19	18	1734				Goffe, Joseph	
100156	Dorset	Great Britain	Jamaica, port unspecified	Charleston	40	39	1734				Oliver, William	
100157	John	Great Britain	Jamaica, port unspecified	Charleston	14	13	1734				Ford, William	
100158	Britannia	Great Britain	Barbados, port unspecified	Charleston	5	4	1734				Staples, John	
100159	Midnight	Great Britain	New York	Charleston	3	2	1734				Barnes, Thomas	
100160	John and Phoebe	Great Britain	Antigua, port unspecified	Charleston	7	6	1734				Preston, John	
100161	Retrieve	Great Britain	Jamaica, port unspecified	Charleston	13	12	1734				Rivers, Robert	
100162	Sweet Nelly	Great Britain	Barbados, port unspecified	Charleston	33	32	1734				Bullock, Robert	
100163	John	Great Britain	St. Kitts, port unspecified	Charleston	64	62	1734				Rowse, Jonathan	
100164	True Friends	Great Britain	Barbados, port unspecified	Charleston	3	2	1734				Taylor, Richard	
100165	Providence	Great Britain	Barbados, port unspecified	Charleston	17	16	1734				Taylor, Joseph	
100166	Concord	Great Britain	Barbados, port unspecified	Charleston	6	5	1734				Robertson, George	
100167	Three Sisters	Great Britain	Boston	Charleston	3	2	1736				Merret, Phil.	
100168	Midnight	Great Britain	New York	Charleston	3	2	1734				Barnes, Thomas	
100169	Charming Betty	Great Britain	St. Kitts, port unspecified	Charleston	4	3	1734				Crosthwaite, Thomas	
100170	Glasgow	Great Britain	Barbados, port unspecified	Charleston	7	6	1734				Warden, William	
100171	Samuel	Great Britain	Montserrat, port unspecified	Charleston	3	2	1734				Goffe, Joseph	
100172	Carolina	Great Britain	Providence	Charleston	23	22	1734				Fox, George	
100173	Sweet Nelly	Great Britain	Barbados, port unspecified	Charleston	19	18	1734				Turpin, Matthew	
100174	Garret	Great Britain	Providence	Charleston	3	2	1734				Hill, James	
100175	Retrieve	Great Britain	Jamaica, port unspecified	Charleston	3	2	1734				Waller, Thomas	
100176	Sea Nymph	Great Britain	Barbados, port unspecified	Charleston	9	8	1734				Forister, Rich	
100178	Westbury	Great Britain	Jamaica, port unspecified	Charleston	5	4	1735				Conssius, Mathias	
100179	Rose	Great Britain	Barbados, port unspecified	Charleston	8	7	1735				Rous, John	
100180	Exeter	Great Britain	Jamaica, port unspecified	Charleston	10	9	1735				Smith, Henry	
100181	Seahorse	Great Britain	Jamaica, port unspecified	Charleston	11	10	1735				Arnold, Owen	
100182	Neptune	Great Britain	Jamaica, port unspecified	Charleston	37	36	1735				Lightwood, Edward	
100183	Francis and Ann	Great Britain	Jamaica, port unspecified	Charleston	4	3	1735				Cox, John	
100184	Charming Betty	Great Britain	Antigua, port unspecified	Charleston	5	4	1735			0	Crosthwaite, Thomas	
100185	Mary	Great Britain	Barbados, port unspecified	Charleston	2	1	1735				Hinson, Joseph	
100186	True Friends	Great Britain	Barbados, port unspecified	Charleston	2	1	1735			0	Warner, Sam	
100187	Success	Great Britain	Barbados, port unspecified	Charleston	18	17	1735				Cload, George	
100188	Mary	Great Britain	Barbados, port unspecified	Charleston	34	33	1735			0.26666668	Outerbridge, John	
100189	Little Gypsy	Great Britain	Providence	Charleston	7	6	1735			0.5	Kip, Jacobus	
100190	Catherine	Great Britain	Havana	Charleston	2	1	1735				Wilson, George	
100191	Flying Squirrel	Great Britain	Antigua, port unspecified	Charleston	19	18	1735				Wentworth, Samuel	
100192	Fancy	Great Britain	Jamaica, port unspecified	Charleston	19	18	1735				Vardill, Thomas	
100193	Pomroy	Great Britain	Barbados, port unspecified	Charleston	5	4	1735			1	Rous, John	
100194	 	Great Britain	Boston	Charleston	2	1	1735			0	Knox, Andrew	
100195	Ellin	Great Britain	Barbados, port unspecified	Charleston	2	1	1735			0	Wallace, Samuel	
100196	Prince Frederick [?]	Great Britain	New York	Charleston	2	1	1735			0	Wilson, Joseph	
100197	[Elizabeth?]	Great Britain	St. Kitts, port unspecified	Charleston	13	12	1735			0	Newton, Sam	
100198	Lake	Great Britain	Barbados, port unspecified	Charleston	14	13	1736				Pharnt, John	
100199	Elizabeth and Lavenia	Great Britain	Curacao	Charleston	19	18	1736				Porter, Thomas	
100200	Carolina	Great Britain	Barbados, port unspecified	Charleston	21	20	1736			0.05	Metland, Joseph	
100201	Martha	Great Britain	Antigua, port unspecified	Charleston	3	2	1736				Pollock, C.	
100202	Sweet Nelly	Great Britain	Barbados, port unspecified	Charleston	3	2	1736				Hamilton, William	
100203	Two Brothers	Great Britain	Barbados, port unspecified	Charleston	2	1	1736				Grafton, Joseph	
100204	Antigua	Great Britain	Antigua, port unspecified	Charleston	6	5	1736				Richards, William	
100205	King David	Great Britain	Antigua, port unspecified	Charleston	2	1	1736			0	Snow, John	
100206	Dorothy	Great Britain	Antigua, port unspecified	Charleston	4	3	1736			0	Douglas, William	
100207	 	Great Britain	North Carolina, port unspecified	Charleston	2	1	1736			1	Vaughan, William	
100208	Nottingham	Great Britain	Montserrat, port unspecified	Charleston	16	15	1736				Parmyter, Thomas	
100209	Charles (a) Don Carlos	Great Britain	Jamaica, port unspecified	Charleston	16	15	1736				Fenell, Edward	
100210	Tincosdale	Great Britain	British Leewards	Charleston	3	2	1736				Wentworth, Samuel	
100211	Dorothy [?--blank]	Great Britain	Antigua, port unspecified	Charleston	3	2	1736			0	Douglas, William	
100212	 	Great Britain	Montserrat, port unspecified	Charleston	2	1	1737			0	Sherrett, John	
100213	Midnight [?]	Great Britain	New York	Charleston	2	1	1737			0	Tucker, James	
100214	 	Great Britain	Mobile	Charleston	5	4	1737			0	Colcock, John	
100215	Little Gypsy	Great Britain	Jamaica, port unspecified	Charleston	5	4	1737				Smith, John	
100216	Georgia	Great Britain	New York	Charleston	22	21	1737				Lush, John	
100217	Amity	Great Britain	Bermuda	Charleston	11	10	1737				Todd, Henry	
100218	Dow	Great Britain	Jamaica, port unspecified	Charleston	10	9	1738				Sigourney, Charles	
100219	Carolina	Great Britain	Barbados, port unspecified	Charleston	7	6	1738				Metland, Joseph	
100220	Glasgow	Great Britain	Antigua, port unspecified	Charleston	14	13	1738			0.07692308	Warden, William	
100221	Jenny and Nancy	Great Britain	Antigua, port unspecified	Charleston	15	14	1738			0.14285715	Linx, Richard	
100222	 	Great Britain	Barbados, port unspecified	Charleston	2	1	1739			0	Lightwood, Edward	
100223	 	Great Britain	Antigua, port unspecified	Charleston	6	5	1739			0	Dowers, Edward	
100224	 	Great Britain	St. Kitts, port unspecified	Charleston	31	30	1739			0.16666667	Dorby, Eleazer	
100225	 	Great Britain	Antigua, port unspecified	Charleston	7	6	1739			0.5	Drummond, John	
100226	 	Great Britain	Rhode Island, port unspecified	Charleston	6	5	1740				Barnes, William	
100227	 	Great Britain	Barbados, port unspecified	Charleston	17	16	1740				Lightwood, Edward	
100228	 	Great Britain	Antigua, port unspecified	Charleston	14	13	1740			0	McNeale, Hector	
100229	 	Great Britain	Barbados, port unspecified	Charleston	2	1	1740			0	Paynter, John	
100230	 	Great Britain	Barbados, port unspecified	Charleston	6	5	1740			0	Hughes, H.	
100231	 	Great Britain	Bermuda	Charleston	17	16	1742				Minott, Amos	
100232	 	Great Britain	Jamaica, port unspecified	Cape Fear	73	71	1742				Mason, John	
100233	Carolina [?]	Great Britain	Providence	Charleston	3	2	1744				Hutchins, [Joseph?]	
100234	 	Great Britain	Jamaica, port unspecified	Charleston	2	1	1745				Harramond	
100235	 	Great Britain	Jamaica, port unspecified	Charleston	7	6	1745				Evans	
100236	 	Great Britain	Barbados, port unspecified	Charleston	3	2	1745				Harmond	
100237	 	Great Britain	Antigua, port unspecified	Charleston	3	2	1746				Grand	
100238	 	Great Britain	St. Kitts, port unspecified	Charleston	7	6	1748				Watts	
100239	 	Great Britain	Providence	Charleston	9	8	1748				Walker	
100240	 	Great Britain	Antigua, port unspecified	Charleston	2	1	1748				Hare	
100241	 	Great Britain	Antigua, port unspecified	Charleston	3	2	1748				Place	
100242	 	Great Britain	Spanish Town	Charleston	5	4	1748				Hopkins	
100243	 	Great Britain	Jamaica, port unspecified	Charleston	14	13	1749				Burchell	
100244	 	Great Britain	Antigua, port unspecified	Charleston	6	5	1749				Raines	
100245	 	Great Britain	Antigua, port unspecified	Charleston	4	3	1750				Bailey	
100246	Defeat	Great Britain	Barbados, port unspecified	Charleston	3	2	1750				Pharour, John	
100247	Charles	Great Britain	Barbados, port unspecified	Charleston	102	100	1750				Calvert, Thomas	
100248	Thomas and George	Great Britain	Barbados, port unspecified	Charleston	23	22	1750				Thomas, Thomas	
100249	Benjamin	Great Britain	Barbados, port unspecified	Charleston	41	40	1750				Nelms, Thomas	
100250	 	Great Britain	Barbados, port unspecified	Charleston	14	13	1750				Evans	
100252	Recovery	Great Britain	Antigua, port unspecified	Charleston	21	20	1750				Robinson, William	
100253	Hawk	Great Britain	Antigua, port unspecified	Charleston	72	70	1751				Mason, William	
100254	 	Great Britain	Antigua, port unspecified	Charleston	4	3	1751				Allen	
100256	Brownhill	Great Britain	Montserrat, port unspecified	Charleston	7	6	1751				Thomas, John	
100257	 	Great Britain	Barbados, port unspecified	Charleston	3	2	1751				Evans	
100258	South Carolina	Great Britain	Barbados, port unspecified	Charleston	54	52	1751				Fell, John	
100259	 	Great Britain	Barbados, port unspecified	Charleston	9	8	1751				Noble	
100260	 	Great Britain	Barbados, port unspecified	Charleston	53	51	1751				Gardner	
100261	Nancy	Great Britain	Barbados, port unspecified	Charleston	70	68	1751	0.86764705	0.13235295	0	Dickenson, Joseph	
100262	Endeavour	Great Britain	Barbados, port unspecified	Charleston	7	6	1751				Woodhouse, William	
100263	 	Great Britain	Curacao	Charleston	2	1	1751				Evans	
100264	Rebecca	Great Britain	Boston	Charleston	7	6	1751				Andrews, John	
100265	Peggy and Molly	Great Britain	Antigua, port unspecified	Charleston	15	14	1751				Oates, James	
100266	 	Great Britain	St. Kitts, port unspecified	Charleston	20	19	1751				Bannon	
100267	Isaac	Great Britain	Barbados, port unspecified	Charleston	23	22	1751				McNeill, John	
100268	 	Great Britain	Antigua, port unspecified	Charleston	3	2	1751					
100269	 	Great Britain	Barbados, port unspecified	Charleston	29	28	1751				Symondson	
100270	 	Great Britain	Barbados, port unspecified	Charleston	41	40	1751				Wakeley	
100271	 	Great Britain	Barbados, port unspecified	Charleston	9	8	1751				Gordon	
100272	Lucretia	Great Britain	St. Kitts, port unspecified	Charleston	10	9	1752				Fleming (a) Heming, James	
100273	Joseph	Great Britain	New York	Charleston	7	6	1752				Wilson, Joseph	
100274	Susannah	Great Britain	Antigua, port unspecified	Charleston	3	2	1752				Lang, William	
100275	Armstrong	Great Britain	Barbados, port unspecified	Charleston	28	27	1752				Eggar, James	
100276	Industry	Great Britain	Barbados, port unspecified	Charleston	12	11	1752				Kilner, Samuel	
100277	Lovely Rebecca	Great Britain	Antigua, port unspecified	Charleston	7	6	1752				Davis, Robert	
100278	 	Great Britain	St. Kitts, port unspecified	Charleston	14	13	1752				Smith	
100279	 	Great Britain	Montserrat, port unspecified	Charleston	6	5	1752				Leslie	
100280	Spy	Great Britain	Jamaica, port unspecified	Charleston	7	6	1752				Evans, Burch	
100281	Endeavour	Great Britain	Jamaica, port unspecified	Charleston	5	4	1752				Colcock, Isaac	
100282	Sarah and Anne	Great Britain	Barbados, port unspecified	Charleston	21	20	1752				Nicholson, John	
100283	Vine	Great Britain	Barbados, port unspecified	Beaufort	86	84	1752				Makin, Robert	
100284	Two Friends	Great Britain	Barbados, port unspecified	Charleston	60	60	1752				Hammett, Abraham	
100285	 	Great Britain	Barbados, port unspecified	Charleston	7	6	1752				Donnington	
100286	Providence	Great Britain	Barbados, port unspecified	Charleston	20	10	1752				Nicholson, John	
100287	Brothers	Great Britain	Barbados, port unspecified	Charleston	31	11	1753				Cragg, Thomas	
100288	Nancy	Great Britain	St. Kitts, port unspecified	Charleston	24	23	1752				Marshall, James	
100289	Saint Andrew	Great Britain	St. Kitts, port unspecified	Charleston	7	6	1752				Breading, Andrew	
100290	 	Great Britain	Jamaica, port unspecified	Charleston	3	2	1752				Edwards	
100291	Nancy	Great Britain	Cape Fear	Charleston	8	7	1752				Fen, Francis	
100292	 	Great Britain	Barbados, port unspecified	Charleston	3	2	1752				Rice	
100293	Good Intent	Great Britain	Barbados, port unspecified	Charleston	15	7	1753				Booth, John	
100294	Benjamin	Great Britain	Barbados, port unspecified	Charleston	17	16	1753				Thompson, Thomas	
100295	Dutchess of Beaufort	Great Britain	St. Kitts, port unspecified	Charleston	3	2	1753				Nash, William	
100296	Hannah	Great Britain	Barbados, port unspecified	Charleston	48	48	1753	1	0	0	Cornish, Joseph	
100297	Plymouth	Great Britain	Barbados, port unspecified	Charleston	4	4	1753				Lang, George	
100298	Arabella	Great Britain	Jamaica, port unspecified	Charleston	2	1	1753				Boyd, James	
100299	Molly and Sally	Great Britain	Barbados, port unspecified	Charleston	102	100	1753				Wilmhurst, John	
100300	Entwistle	Great Britain	Barbados, port unspecified	Charleston	52	50	1753				Briggs, William	
100301	Salmond	Great Britain	Rhode Island, port unspecified	Charleston	7	6	1753				Sweeting, Job	
100302	 	Great Britain	Barbados, port unspecified	Charleston	12	11	1753				Calvert	
100303	 	Great Britain	Barbados, port unspecified	Charleston	28	27	1753				Parsons	
100304	 	Great Britain	Barbados, port unspecified	Charleston	10	9	1753				Gaultria	
100305	 	Great Britain	Barbados, port unspecified	Charleston	12	11	1753				Crumbleholm	
100306	Nancy	Great Britain	Antigua, port unspecified	Charleston	5	4	1753				Copithorn, John	
100307	Molly and Sally	Great Britain	Barbados, port unspecified	Charleston	25	24	1754	0.625	0.25	0.125	Wilmhurst, John	
100308	 	Great Britain	Americas, port unspecified	Charleston	17	16	1753				Dickinson	
100309	 	Great Britain	Americas, port unspecified	Charleston	43	42	1753				Gordon	
100310	Jenny or Diamond	Great Britain	Rhode Island, port unspecified	Charleston	7	6	1754				Brown, William	
100311	Martha	Great Britain	Barbados, port unspecified	Charleston	82	80	1754				Lone, James	
100312	New Ormond Success	Great Britain	Barbados, port unspecified	Charleston	159	156	1754				Dickson, William	
100313	Katharine	Great Britain	Barbados, port unspecified	Charleston	3	2	1754				Rash, Andrew	
100314	Charming Betty	Great Britain	Barbados, port unspecified	Charleston	45	44	1754				Day, William	
100315	 	Great Britain	Philadelphia	Charleston	7	6	1754				Day	
100316	Elizabeth	Great Britain	Jamaica, port unspecified	Charleston	14	13	1754				Landey (a) Londey, John	
100317	Altia[?]	Great Britain	New York	Charleston	12	11	1754				Dickerson, [Robert?]	
100318	 	Great Britain	Jamaica, port unspecified	Charleston	49	48	1754					
100319	Mercury	Great Britain	Jamaica, port unspecified	Charleston	34	33	1754				Webb, William	
100320	Mary and Martha	Great Britain	Barbados, port unspecified	Charleston	79	77	1754				Dill, Joseph	
100321	Isaac	Great Britain	Barbados, port unspecified	Charleston	62	60	1754			0	McNeill, John	
100322	Duchess [Duke] of Queensberry	Great Britain	Antigua, port unspecified	Charleston	8	7	1754				McNeal, Hector	
100323	Deborah	Great Britain	New York	Charleston	16	15	1754				Drumgoole (a) Drumgold, Alexander	
100324	 	Great Britain	Jamaica, port unspecified	Charleston	7	6	1754				Adams	
100325	Prince of Wales	Great Britain	Barbados, port unspecified	Charleston	72	70	1754				Gordon, Robert	
100326	 	Great Britain	Antigua, port unspecified	Charleston	7	6	1754				Roberts	
100327	Nancy	Great Britain	Barbados, port unspecified	Charleston	10	9	1754				Copithorn, [John?]	
100328	 	Great Britain	Philadelphia	Charleston	7	6	1755				Robeson	
100329	 	Great Britain	Cape Fear	Charleston	7	6	1755				Tucker	
100330	 	Great Britain	Virginia, port unspecified	Charleston	8	7	1755				Legge	
100331	Sally[?]	Great Britain	New York	Charleston	7	6	1755				Schermerhorn, [John?]	
100332	Providence	Great Britain	Barbados, port unspecified	Charleston	19	18	1755				Nichols, William	
100333	Polly	Great Britain	St. Kitts, port unspecified	Charleston	9	8	1755				Boardman (a) Bondman, Isaac	
